,Tweets,Cleaned_Tweets
0,"If only electricity can be generated from religious hatred Narendra Modi
would’ve made India the sustainable energy capital of the world! 
#PowerShortageInIndia",If only electricity can be generated from religious hatred Narendra Modiwould’ve made India the sustainable energy capital of the world! 
1,"Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each.
#PowerShortageInIndia","Due to BJP's poor administration according to government data, Jharkhand Bihar, Haryana and Uttarakhand have reported power shortages of over 3 percent each."
2,#PowerShortageInIndia yesterday @mkstalin please consider this matter sir.., yesterday mkstalin please consider this matter sir..
3,"Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP.
#PowerShortageInIndia","Andhra Pradesh, Karnataka, Bihar, Madhya Pradesh, Jharkhand, Punjab, Haryana, Rajasthan, Telangana and Uttar Pradesh have started seeing power cuts over the last few days Due to mismanagement &amp; poor administration of BJP."
4,"Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
#PowerShortageInIndia",Coal shortage is being witnessed in 12 states once again after 2021 The depleting coal inventory of domestic thermal power plants has prompted PSU power engineers to warn of an impending energy crisis. Failure of Modi Govt!
5,"India is in darkness... The BJP is falsely propagating that India is bright
#PowerShortageInIndia",India is in darkness... The BJP is falsely propagating that India is bright
6,"There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
#PowerShortageInIndia",There has been a power shortage across the country. The focus of the U.S. government on bulldozers should be on the people and the administration a little bit. Failure of Modi Govt!
7,"The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis
#PowerShortageInIndia","The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis"
8,"Power Crisis Gujarat Government Mandates industries to shut a day every week! Failure of BJP Govt!
#PowerShortageInIndia",Power Crisis Gujarat Government Mandates industries to shut a day every week! Failure of BJP Govt!
9,"@CTR_Nirmalkumar Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake.
#PowerShortageInIndia","CTR_Nirmalkumar Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake."
10,"#PowerShortageInIndia
Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!
#PowerShortageInIndia","Power outages have adversely affected production in more than 100 MSMEs in the JIADA industrial area of the Bokaro region, raising serious concerns. Failure of Modi Govt!"
11,"Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
#PowerShortageInIndia",Failure of Modi Govt! India suffering from a severe Power Shortage due to a coal shortage! Industries and households are affected bigger!
12,"The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis
#PowerShortageInIndia","The several States are expected to face coal shortages, which leads to power shortages in the coming weeks with India entering peak power demand season. Experts predict that high global thermal coal prices leads to a crisis"
13,"Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. 
#PowerShortageInIndia","Due to mismanagement &amp; poor administration of BJP, India's coal shortage &amp; rising power demand could become another stagflationary shock &amp; making power crisis in 12 states. Instead of concentrating on bulldozers, act on needs of the people for India's sake. "
